"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","weekdays_num"
2007-03-03,"00:00:00",0.5128,0.118,247.29,1.4,0,0,0,6
2007-03-03,"00:01:00",0.5116,0.15,245.65,1.6,0,0,0,6
2007-03-03,"00:02:00",0.42,0.256,246.39,2,0,0,0,6
2007-03-03,"00:03:00",0.416,0.258,246.71,2,0,0,0,6
2007-03-03,"00:04:00",0.5133,0.254,245.91,2,0,0,0,6
2007-03-03,"00:05:00",0.5146,0.2,245.54,1.6,0,0,0,6
2007-03-03,"00:06:00",0.336,0.144,245.75,1.4,0,0,0,6
2007-03-03,"00:07:00",0.334,0.144,245.78,1.4,0,0,0,6
2007-03-03,"00:08:00",0.332,0.14,245.21,1.4,0,0,0,6
2007-03-03,"00:09:00",0.332,0.148,246.4,1.4,0,0,0,6
2007-03-03,"00:10:00",0.51735,0.148,246.7,1.4,0,0,0,6
2007-03-03,"00:11:00",0.33,0.148,246.54,1.4,0,0,0,6
2007-03-03,"00:12:00",0.328,0.144,246.03,1.4,0,0,0,6
2007-03-03,"00:13:00",0.324,0.138,244.74,1.4,0,0,0,6
2007-03-03,"00:14:00",0.324,0.138,244.63,1.4,0,0,0,6
2007-03-03,"00:15:00",0.322,0.136,244.42,1.4,0,0,0,6
2007-03-03,"00:16:00",0.5314,0.072,244.87,1.2,0,0,0,6
2007-03-03,"00:17:00",0.53155,0,245.36,1,0,0,0,6
2007-03-03,"00:18:00",0.5317,0,245.18,1,0,0,0,6
2007-03-03,"00:19:00",0.228,0,245.1,1,0,0,0,6
2007-03-03,"00:20:00",0.228,0,244.85,1,0,0,0,6
2007-03-03,"00:21:00",0.5319,0,245.06,1,0,0,0,6
2007-03-03,"00:22:00",0.228,0,244.77,1,0,0,0,6
2007-03-03,"00:23:00",0.53205,0,245.27,1,0,0,0,6
2007-03-03,"00:24:00",0.5322,0,245.8,1,0,0,0,6
2007-03-03,"00:25:00",0.5323,0,244.31,1,0,0,0,6
2007-03-03,"00:26:00",0.53235,0,243.72,1,0,0,0,6
2007-03-03,"00:27:00",0.226,0,243.57,1,0,0,0,6
2007-03-03,"00:28:00",0.224,0,242.88,1,0,0,0,6
2007-03-03,"00:29:00",0.224,0,242.57,1,0,0,0,6
2007-03-03,"00:30:00",0.226,0,243.32,1,0,0,0,6
2007-03-03,"00:31:00",0.53245,0,244.5,1,0,0,0,6
